athlete_names,event,time_distance,total_points,competition
ojaniemi,long_jump,7.5,8006,OlympicG
ojaniemi,shot_put,14.97,8006,OlympicG
smirnov,x100m,10.89,7993,OlympicG
smirnov,x400m,49.11,7993,OlympicG
smirnov,long_jump,7.07,7993,OlympicG
smirnov,shot_put,13.88,7993,OlympicG
qi,x100m,11.06,7934,OlympicG
qi,x400m,49.65,7934,OlympicG
qi,long_jump,7.34,7934,OlympicG
qi,shot_put,13.55,7934,OlympicG
drews,x100m,10.87,7926,OlympicG
drews,x400m,48.51,7926,OlympicG
drews,long_jump,7.38,7926,OlympicG
drews,shot_put,13.07,7926,OlympicG
parkhomenko,x100m,11.14,7918,OlympicG
parkhomenko,x400m,51.04,7918,OlympicG
parkhomenko,long_jump,6.61,7918,OlympicG
parkhomenko,shot_put,15.69,7918,OlympicG
terek,x100m,10.92,7893,OlympicG
terek,x400m,49.56,7893,OlympicG
terek,long_jump,6.94,7893,OlympicG
terek,shot_put,15.15,7893,OlympicG
gomez,x100m,11.08,7865,OlympicG
gomez,x400m,48.61,7865,OlympicG
gomez,long_jump,7.26,7865,OlympicG
gomez,shot_put,14.57,7865,OlympicG
turi,x100m,11.08,7708,OlympicG
turi,x400m,51.67,7708,OlympicG
turi,long_jump,6.91,7708,OlympicG
turi,shot_put,13.62,7708,OlympicG
lorenzo,x100m,11.1,7592,OlympicG
lorenzo,x400m,49.34,7592,OlympicG
lorenzo,long_jump,7.03,7592,OlympicG
lorenzo,shot_put,13.22,7592,OlympicG
karlivans,x100m,11.33,7583,OlympicG
karlivans,x400m,50.54,7583,OlympicG
karlivans,long_jump,7.26,7583,OlympicG
karlivans,shot_put,13.3,7583,OlympicG
korkizoglou,x100m,10.86,7573,OlympicG
korkizoglou,x400m,51.16,7573,OlympicG
korkizoglou,long_jump,7.07,7573,OlympicG
korkizoglou,shot_put,14.81,7573,OlympicG
uldal,x100m,11.23,7495,OlympicG
uldal,x400m,50.95,7495,OlympicG
uldal,long_jump,6.99,7495,OlympicG
uldal,shot_put,13.53,7495,OlympicG
casarsa,x100m,11.36,7404,OlympicG
casarsa,x400m,53.2,7404,OlympicG
casarsa,long_jump,6.68,7404,OlympicG
casarsa,shot_put,14.92,7404,OlympicG
